Date,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Buying price,Tax 5%,Selling price,Paymentmode,Profit percentage,profit,Rating
1/5/2019,750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,522.83,26.1415,548.9715,Ewallet,5,26.1415,9.1
3/8/2019,226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,76.4,26.1415,80.22,Cash,5,3.82,9.6
3/3/2019,631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,324.31,26.1415,340.5255,Credit card,5,16.2155,7.4
1/27/2019,123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,8,465.76,26.1415,489.048,Ewallet,5,23.288,8.4
2/8/2019,373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,604.17,26.1415,634.3785,Ewallet,5,30.2085,5.3
3/25/2019,699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,597.73,26.1415,627.6165,Ewallet,5,29.8865,4.1
2/25/2019,355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,413.04,26.1415,433.692,Ewallet,5,20.652,5.8
2/24/2019,315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,735.6,26.1415,772.38,Ewallet,5,36.78,8
1/10/2019,665-32-9167,Alex,Yangon,Member,Female,Health and beauty,36.26,2,72.52,26.1415,76.146,Credit card,5,3.626,7.2
2/20/2019,692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,164.52,26.1415,172.746,Credit card,5,8.226,5.9
2/6/2019,351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4,57.92,26.1415,60.816,Ewallet,5,2.896,4.5
3/9/2019,529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,102.04,26.1415,107.142,Cash,5,5.102,6.8
